jezyk,liczba_wnioskow,wnioski_wyplacone,procent_wnioskow_wyplaconych,wnioski_odrzucone,procent_wnioskow_odrzuconych,wnioski_oczekujace,procent_wnioskow_oczekujacych
da,6649,1633,24.56,1744,26.23,1854,27.88
de,2825,458,16.21,718,25.42,931,32.96
en,145134,32830,22.62,11132,7.67,94134,64.86
es,1668,234,14.03,285,17.09,566,33.93
fi,2105,378,17.96,572,27.17,848,40.29
fr,982,92,9.37,230,23.42,468,47.66
it,1990,206,10.35,542,27.24,749,37.64
nb,2572,315,12.25,904,35.15,952,37.01
nl,265,35,13.21,78,29.43,115,43.4
pl,7973,6108,76.61,376,4.72,1074,13.47
pt,3333,357,10.71,472,14.16,1025,30.75
ru,544,70,12.87,209,38.42,156,28.68
sv,3479,587,16.87,913,26.24,1135,32.62
